Name,Image,Link to event,Minimum Price,Maximum Price (Put -1 if no maximum),Minimum Attendees,Maximum Attendees (Put -1 if no maximum),Description,Location,Start Datetime,End Datetime,Type(s) of event (Seperate with |),Interests,,
Active Defence:China's Military Strategy and Its International Implications,Active Defence:China's Military Strategy and Its International Implications,https://www.eventbrite.sg/e/active-defencechinas-military-strategy-and-its-international-implications-tickets-950447302467?aff=ebdsoporgprofile,0,-1,1,-1,"A country’s military capability, is one of its most important instruments of statecraft. China’s People’s Liberation Army has been rapidly modernising in pursuit of becoming a ‘world-class’ force. Join us as Professor M. Taylor Fravel examines China’s past and present approaches to military strategy, focusing on how it plans and prepares to use armed force, particularly through the concept of ‘active defence’. The implications for China’s broader security policy, global ambitions, and United States-China-Southeast Asia relations will be explored.
",Yale-NUS College,21 Aug 18:00,21 Aug 19:45,talk,war and military conflicts,politics ,
Young Founders Entrepreneurship Bootcamp (13-16 Years),Young Founders Entrepreneurship Bootcamp (13-16 Years),https://www.eventbrite.sg/e/young-founders-entrepreneurship-bootcamp-13-16-years-5-days-tickets-97053988091?aff=ebdssbdestsearch,SGD$760.76,-1,1,-1,"Create the Next Big Tech. Create the Future.

In this camp, we will start with a hackathon where students will form teams, come up with ideas to solve real-life issues and create a pitch for their start-up idea!",Guoco Midtown Network Hub,"Oct 21, 9.30am
Dec 2, 9.30am
Dec 9, 9.30am (spans 5 days for each)",,hackathon,technology,business enterprising,
 Discover Machine Learning: A Beginner's Workshop by CYS (Cyber Youth Singapore),-1,https://forms.gle/nT4Gys5843fJaK4aA,0,-1,1,-1,"Join us on 17 August 2024, from 2-4pm, at *SCAPE, for an exciting and beginner-friendly workshop on machine learning! This session is perfect for those who are new to the field and eager to learn the basics.",*SCAPE,17 Aug 14:00,17 Aug 16:00,workshop,machine learning,,
Discover+: Tourism,Discover+: Tourism,https://bit.ly/Discover-Tourism2024,0,-1,1,-1,"The tourism industry has demonstrated remarkable resilience and adaptability, flourishing even amidst global challenges such as the Covid-19 pandemic. Across the world, tourism is evolving, with destinations enhancing their appeal through digital integration and eco-friendly initiatives, catering to a new generation of travellers.",Zoom,20 Aug 19:30,20 Aug 21:00,talk,machine learning,,
Tasting Tomorrow with Today's Youth: Student Chapter for Future Food,Tasting Tomorrow with Today's Youth: Student Chapter for Future Food,https://www.eventbrite.sg/e/tasting-tomorrow-with-todays-youth-student-chapter-for-future-food-tickets-924468007697?aff=ebdssbdestsearch,0,-1,1,-1,"Eating meat is not bad, but it is problematic. Conventional industrialised husbandry practices have us raising questions about its “naturalness”, their negative impacts on climate change, increased zoonotic diseases and loss of biodiversity. We are already in the midst of a sixth mass extinction!","21 Tampines Avenue 1 Singapore, Singapore 529757",14 Oct 08:30,14 Oct 12:30,forum,climate change,biodiversity,technology
Law Seminar: Aus vs UK vs SG - 24 Aug 2024,Law Seminar: Aus vs UK vs SG - 24 Aug 2024,https://eventbrite.sg/e/law-seminar-aus-vs-uk-vs-sg-24-aug-2024-tickets-924149896217?aff=ebdssbdestsearch,0,-1,1,-1,"Evaluate your law school choices and get detailed insights on applying to UK law schools
If you are keen to pursue a career in Law, but are intimidated by the complicated application process, join this seminar!",AUG Singapore Office,24 Aug 11:00,24 Aug 13:00,seminar,law,education,
Women's Forum Global Meeting 2024,Women's Forum Global Meeting 2024,https://events.womens-forum.com/women-s-forum-global-meeting-2024,0,-1,1,-1,"This year’s Global Meeting theme, Reconciliation, focuses on overcoming tensions and polarisation, and fostering dialogue and unity. Join us on October 23-24 to explore how to revive unity through concrete actions promoting gender equity across numerous fields: climate, health, business, technology, culture, law, and politics. We will also examine collective strategies to address inequalities in workplaces, homes, online media, and broader society.",- ,23 Oct,24 Oct,forum,gender equality,climate change,
Protecting your Ideas and You [Made in SG],Protecting your Ideas and You [Made in SG],https://www.eventbrite.sg/e/protecting-your-ideas-and-you-made-in-sg-registration-938179719797?aff=ebdssbdestsearch,0,-1,1,-1,"Made-in-Singapore (MiSG) is a month-long event emphasising on local artists, held in August. With events occurring every weekend across the month, MiSG is an opportunity to make local arts as accessible to the public as possible, while also allowing artists to engage with the audience, and each other. The event at library@harbourfront will be held on 17 August 2024 from 10am - 6pm.

Panel 1: Protecting your Ideas and You, 11.00am - 12.00pm
Panel 2: Creating for Good, 2.00pm - 3.00pm
Panel 3: Attack of the Crowd, 4.00pm - 5.00pm",library@harbourfront,17 Aug 11:00,17 Aug 12:00,talk,arts and music,business enterprising,politics 
Business Opportunity Day,Business Opportunity Day,https://www.eventbrite.sg/e/business-opportunity-day-tickets-948740166377?aff=ebdssbdestsearch&keep_tld=1,SGD$50.00,-1,1,-1,"You are cordially invited to the Business Opportunity Day of our Business Networking Group at Holiday Inn City Centre, on Tuesday, 13th August 2024. The meeting will start promptly at 8:30AM and end at 10:30AM.

BNI is an international business and professional networking organization whose primary purpose is to exchange qualified business referrals. It is the most successful organization of its type in the world today, with over 8837 Chapters in operation worldwide (including the UK, USA, Malaysia, Singapore, Germany, South Africa and Australia).

Since April 2023, members of BNI Infinity have passed more than S$ 15 million worth of business amongst its members.

We look forward to having you be a part of our network and to grow with each other and to achieve greater results for our businesses. So
see you at our Business Opportunity Day!","Holiday Inn Singapore Orchard City Centre, an IHG Hotel",13 Aug 08:30,13 Aug 10:30,networking,business enterprising,,
Sustainability Professionals ASEAN Network (SPAN),Sustainability Professionals ASEAN Network (SPAN),https://www.eventbrite.sg/e/sustainability-professionals-asean-network-span-tickets-955566022697?aff=ebdssbdestsearch&keep_tld=1,SGD$25.00,-1,1,-1,"We focus on UN SDG 6 this time: Clean Water and Sanitation

According to the United Nations Environment Programme (UNEP), Sustainable Development Goal 6 goes beyond drinking water, sanitation and hygiene to also address the quality and sustainability of water resources, which are critical to the survival of people and the planet. The 2030 Agenda recognizes the centrality of water resources to sustainable development and the vital role that improved drinking water, sanitation and hygiene play in progress in other areas, including health, education and poverty reduction.

This time we expect to have people with experience in water and sanitation projects - from the private and public sectors, and maybe from NGOs – who can be introduced and get to say a few words about their work.",,13 Aug 17:30,13 Aug 19:30,networking,climate change,,
